source,target,weight,sourceArea,sourceCategory,targetArea,targetCategory
1652,2126,3,4,2,4,3
1670,549,1,4,2,1,0
1670,582,1,1,3,4,2
1670,1577,1,4,2,4,2
1670,2068,1,4,2,4,3
1670,2126,1,4,2,4,3
582,346,21,1,3,0,4
582,999,6,1,3,2,3
1296,12,1,0,2,3,0
1296,346,1,3,0,0,4
1296,999,1,3,0,2,3
1296,1516,1,3,4,3,0
1296,2198,1,4,1,3,0
944,582,2,1,3,2,0
944,975,2,2,3,2,0
944,1474,2,2,0,3,1
944,1670,1,4,2,2,0
1777,582,15,1,3,4,5
1777,975,13,4,5,2,3
1777,1474,2,4,5,3,1
1777,1670,2,4,5,4,2
525,327,2,0,4,1,0
525,582,3,1,3,1,0
525,975,4,2,3,1,0
525,1474,2,3,1,1,0
944,327,1,0,4,2,0
680,200,2,0,3,1,1
680,582,1,1,3,1,1
680,975,2,2,3,1,1
680,1652,2,4,2,1,1
718,200,5,1,4,0,3
718,582,13,1,3,1,4
718,975,6,1,4,2,3
718,1652,8,4,2,1,4
582,687,1,1,3,1,1
680,651,1,1,1,1,1
680,687,1,1,1,1,1
582,1341,5,1,3,3,0
582,1763,20,1,3,4,2
653,718,1,1,4,1,1
653,1324,3,3,0,1,1
653,1341,1,3,0,1,1
653,1374,3,3,3,1,1
653,1652,3,4,2,1,1
653,1763,3,1,1,4,2
653,2217,1,4,1,1,1
1516,1324,16,3,0,3,4
1516,1374,17,3,3,3,4
1516,1652,23,4,2,3,4
1516,1763,14,3,4,4,2
66,43,2,0,2,0,2
66,216,4,0,2,0,3
66,401,1,0,2,1,2
66,585,4,0,2,1,3
626,43,1,1,3,0,2
626,216,1,0,3,1,3
626,401,1,1,3,1,2
626,585,1,1,3,1,3
99,139,1,0,5,0,0
99,200,1,0,3,0,5
99,605,1,1,3,0,5
99,986,1,2,3,0,5
976,139,3,2,3,0,0
976,200,3,2,3,0,3
976,605,2,1,3,2,3
976,986,3,2,3,2,3
43,111,1,0,5,0,2
43,216,1,0,3,0,2
43,594,1,1,3,0,2
43,1763,1,4,2,0,2
277,216,9,0,1,0,3
277,1763,13,0,1,4,2
1455,582,25,1,3,3,1
1455,1214,10,3,2,3,1
1455,2085,5,3,1,4,3
2332,582,6,1,3,4,4
2332,1214,8,3,2,4,4
2332,2085,5,4,4,4,3
2332,2198,8,4,1,4,4
2209,2085,6,4,1,4,3
2332,1464,1,3,1,4,4
2332,1324,5,3,0,4,4
582,2085,6,1,3,4,3
2332,2060,1,4,3,4,4
2209,2160,2,4,1,4,3
2332,2160,1,4,4,4,3
555,130,2,0,0,1,0
555,208,2,1,0,0,3
555,510,2,1,0,1,0
555,1889,1,1,0,4,0
1777,130,4,4,5,0,0
1777,208,3,4,5,0,3
1777,510,2,1,0,4,5
1777,1889,2,4,5,4,0
277,208,4,0,1,0,3
277,2209,14,4,1,0,1
555,1652,2,4,2,1,0
555,2209,2,4,1,1,0
555,651,1,1,1,1,0
555,1961,1,4,0,1,0
582,1961,7,1,3,4,0
495,582,8,1,3,1,5
495,975,7,2,3,1,5
495,1454,6,3,1,1,5
495,2198,8,4,1,1,5
525,1454,3,3,1,1,0
525,2198,2,4,1,1,0
525,1298,1,1,0,3,0
1777,1298,2,4,5,3,0
